X,Y,Fuel
0.0,1.95, 10000
0.0,3.85, 9990
0.0,6.7, 9980
0.0,10.5, 9970
0.0,15.25, 9960
0.0,20.95, 9950
0.0,27.6, 9940
0.0,35.2, 9930
0.0,43.75, 9920
0.0,53.25, 9910
0.0,63.7, 9900
0.0,75.1, 9890
0.0,87.45, 9880
0.0,100.75, 9870
0.0,115.0, 9860
0.0,130.2, 9850
0.0,146.35, 9840
0.0,163.45, 9830
0.0,181.5, 9820
0.0,200.5, 9810
0.0,220.45, 9800
0.0,241.35, 9790
0.0,263.2, 9780
0.0,286.0, 9770
0.0,309.75, 9760
0.0,334.45, 9750
0.0,360.1, 9740
0.0,386.7, 9730
0.0,414.25, 9720
0.0,442.75, 9710
0.0,472.2, 9700
0.0,502.6, 9690
0.0,533.95, 9680
0.0,566.25, 9670
0.0,599.5, 9660
0.0,633.7, 9650
0.0,668.85, 9640
0.0,704.95, 9630
0.0,742.0, 9620
0.0,780.0, 9610
0.0,818.95, 9600
0.0,858.85, 9590
0.0,899.7, 9580
0.0,941.5, 9570
0.0,984.25, 9560
0.0,1027.95, 9550
0.0,1072.6, 9540
0.0,1118.2, 9530
0.0,1164.75, 9520
0.0,1212.25, 9510
0.0,1260.7, 9500
0.0,1310.1, 9490
0.0,1360.45, 9480
0.0,1411.75, 9470
0.0,1464.0, 9460
0.0,1517.2, 9450
0.0,1571.35, 9440
0.2175,1626.4496, 9430
1.0618,1682.4939, 9420
2.8397,1739.4688, 9410
5.5808,1797.3603, 9400
9.3147,1856.1534, 9390
14.0704,1915.8326, 9380
19.877,1976.3819, 9370
26.763,2037.7844, 9360
34.7566,2100.0228, 9350
43.8859,2163.0792, 9340
54.1783,2226.9349, 9330
65.6613,2291.5708, 9320
78.3615,2356.9671, 9310
92.3056,2423.1035, 9300
107.5195,2489.9591, 9290
124.029,2557.5123, 9280
141.8594,2625.7411, 9270
161.0354,2694.6228, 9260
181.5815,2764.1344, 9250
203.5217,2834.252, 9240
226.8792,2904.9516, 9230
251.6773,2976.2083, 9220
277.9384,3047.9968, 9210
305.6844,3120.2915, 9200
334.937,3193.066, 9190
365.717,3266.2936, 9180
398.045,3339.9471, 9170
431.9409,3413.9988, 9160
467.424,3488.4206, 9150
504.5131,3563.1838, 9140
543.2266,3638.2594, 9130
583.582,3713.6181, 9120
625.5966,3789.2298, 9110
669.2866,3865.0645, 9100
714.6682,3941.0913, 9090
761.7564,4017.2792, 9080
810.5661,4093.5969, 9070
861.1112,4170.0126, 9060
913.4051,4246.494, 9050
967.4606,4323.0089, 9040
1023.2899,4399.5242, 9030
1080.9043,4476.0071, 9020
1140.3147,4552.424, 9010
1201.5312,4628.7412, 9000
1264.5633,4704.9248, 8990
1329.4197,4780.9405, 8980
1396.1086,4856.7538, 8970
1464.6372,4932.33, 8960
1535.0125,5007.634, 8950
1607.2402,5082.6308, 8940
1681.3258,5157.2849, 8930
1757.2738,5231.5607, 8920
1835.0881,5305.4224, 8910
